x		F(x)
-------------------------
-2.0000		5.7279
-1.9000		5.4489
-1.8000		5.1615
-1.7000		4.8650
-1.6000		4.5587
-1.5000		4.2425
-1.4000		3.9163
-1.3000		3.5807
-1.2000		3.2361
-1.1000		2.8836
-1.0000		2.5244
-0.9000		2.1600
-0.8000		1.7921
-0.7000		1.4227
-0.6000		1.0539
-0.5000		0.6883
-0.4000		0.3283
-0.3000		-0.0234
-0.2000		-0.3640
-0.1000		-0.6905
0.0000		-1.0000
0.1000		-1.2895
0.2000		-1.5560
0.3000		-1.7966
0.4000		-2.0083
0.5000		-2.1883
0.6000		-2.3339
0.7000		-2.4427
0.8000		-2.5121
0.9000		-2.5400
1.0000		-2.5244
1.1000		-2.4636
1.2000		-2.3561
1.3000		-2.2007
1.4000		-1.9963
1.5000		-1.7425
1.6000		-1.4387
1.7000		-1.0850
1.8000		-0.6815
1.9000		-0.2289
2.0000		0.2721
2.1000		0.8204
2.2000		1.4145
2.3000		2.0529
2.4000		2.7336
2.5000		3.4546
2.6000		4.2135
2.7000		5.0079
2.8000		5.8350
2.9000		6.6923
3.0000		7.5766
