Latitude | Longitude | Elevation (m) | Distance (m)
48.164214 | 24.536044 | 1264.00 | 0.00
48.164983 | 24.534836 | 1285.00 | 123.85
48.165605 | 24.534068 | 1285.00 | 213.45
48.166228 | 24.532915 | 1333.00 | 323.50
48.166777 | 24.531927 | 1310.00 | 418.87
48.167326 | 24.530884 | 1318.00 | 517.41
48.167011 | 24.530061 | 1318.00 | 587.78
48.166053 | 24.528039 | 1339.00 | 771.72
48.166655 | 24.526064 | 1375.00 | 932.77
48.166497 | 24.523574 | 1417.00 | 1118.27
48.166128 | 24.520214 | 1486.00 | 1370.81
48.165416 | 24.517170 | 1524.00 | 1610.05
48.164546 | 24.514640 | 1553.00 | 1821.16
48.163412 | 24.512980 | 1630.00 | 1997.39
48.162331 | 24.511715 | 1757.00 | 2149.88
48.162015 | 24.509462 | 1794.00 | 2320.63
48.162147 | 24.506932 | 1828.00 | 2508.86
48.161751 | 24.504244 | 1887.00 | 2713.03
48.161197 | 24.501793 | 1975.00 | 2904.98
48.160580 | 24.500537 | 1975.00 | 3020.67
48.160250 | 24.500106 | 2031.00 | 3069.34
